beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.06,350.0,0.015,0.12,0.1,4876.424975052807,111.99658055718241,110.86846378828
0.07,400.0,0.01,0.12,0.1,4877.741393226907,114.06333153399622,112.99838132192541
0.07,450.0,0.015,0.1,0.2,4892.1761893240055,109.70091012662341,108.46926493871209
0.07,450.0,0.01,0.1,0.2,4894.214201359869,106.71616484556604,105.6852813257061
0.06,300.0,0.005,0.1,0.1,4894.872499703625,107.19215745788479,106.32309256811612
0.06,400.0,0.015,0.12,0.15,4896.978540087295,108.44232660522496,107.34589101646804
0.07,400.0,0.015,0.1,0.25,4897.871393688231,110.69506622563352,109.42184557578703
0.06,300.0,0.01,0.12,0.25,4899.737924323177,107.7858910721366,106.7341123644259
0.07,350.0,0.015,0.1,0.25,4922.026213612093,112.30187193266052,110.98807035430735
0.07,450.0,0.02,0.15,0.25,4922.753394043373,115.69226973505114,114.33464386765425
0.06,300.0,0.015,0.12,0.25,4933.463729893833,109.52711905423679,108.3571833650761
0.06,350.0,0.02,0.12,0.15,4933.66279736275,111.40320618089807,110.18059754612484
0.05,350.0,0.005,0.15,0.1,4933.964298014298,104.15836916164945,103.49516871002935
0.07,350.0,0.015,0.1,0.2,4934.119526382023,112.90844364876865,111.5963335786115
0.07,350.0,0.015,0.12,0.2,4937.575707815731,114.74092045384499,113.43420071033056
0.06,350.0,0.015,0.12,0.2,4938.933983202048,108.77009154509126,107.63665806450403
0.07,400.0,0.005,0.1,0.25,4940.050671677783,104.5530448752452,103.72862987980012
0.07,450.0,0.015,0.1,0.1,4941.837373880458,112.76418159896033,111.54145627608698
0.07,400.0,0.005,0.15,0.1,4946.721772093087,114.03028853822484,113.27295039963192
0.06,400.0,0.01,0.12,0.15,4949.653211625684,106.14973567656398,105.20736523724722
0.05,400.0,0.02,0.15,0.1,4959.1282163773885,108.39075568557115,107.38769277051318
0.06,400.0,0.02,0.12,0.15,4961.432285571095,110.22501724918475,109.02568984542474
0.06,300.0,0.02,0.12,0.2,4962.860289214706,111.51274831833653,110.26517878430676
0.06,350.0,0.01,0.12,0.2,4963.915476532516,106.75531976950244,105.75798230294748
0.07,350.0,0.01,0.1,0.1,4967.725099274892,113.59597837341825,112.4579107396206
0.05,400.0,0.015,0.15,0.1,4971.980230886063,106.90189681700164,105.9839978359648
0.06,300.0,0.005,0.12,0.25,4972.227067944337,105.51875176323112,104.64386916646549
0.06,450.0,0.005,0.12,0.1,4972.908953575937,103.25661089491476,102.6271529113943
0.06,450.0,0.02,0.12,0.1,4981.128314836919,111.21663498530134,110.04233815775731
0.07,400.0,0.02,0.12,0.25,4989.928674732959,114.49153828199033,113.10063364050183
