beta,tau_r,r_max,c_max,k_c,l2,l3,t1,t2,f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.075,8,550.0,400.0,0.002,1450.0,1150.0,25,55,0.15,8,35,0.05,0.3,3718.268028557944,109.78067026241594,108.17180114084745,103.99152508283255,4.082801566255534,252.29190245979373,5698.940743021923
0.075,8,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,10,32,0.05,0.3,3970.3217277306535,110.55143209951332,108.59449876302335,103.50439020740744,4.082801566255534,225.07136267463522,5701.144699498572
0.075,8,550.0,400.0,0.003,1450.0,1150.0,25,55,0.15,8,32,0.05,0.3,3601.1826522116453,109.4071758413048,107.9391983968729,104.20886927700658,4.083106877036413,265.68864332228804,5707.194028436207
0.075,10,550.0,400.0,0.003,1450.0,1100.0,20,55,0.15,8,35,0.05,0.3,3806.896294462394,110.40293022980543,108.5811097779318,103.91471355928716,4.083106877036413,246.01895716068503,5707.692466439972
0.075,8,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,38,0.05,0.3,3735.1303803690953,110.10033334063372,109.40257985302466,104.21230898466759,4.082801566255534,255.43199690583532,5708.441369838774
0.075,10,550.0,400.0,0.002,1450.0,1150.0,20,60,0.15,8,32,0.05,0.3,3533.2442938314693,109.38018894684753,108.80697189745051,104.55224729330787,4.082801566255534,277.5849537774946,5717.103776059357
0.075,10,550.0,400.0,0.002,1450.0,1100.0,25,55,0.15,8,35,0.05,0.25,3946.9186953920257,110.72423036400741,108.7658594174305,103.65567185327234,4.082801566255534,231.3984134401133,5719.69433339395
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,38,0.05,0.25,3921.679319013524,110.83760597904579,108.88047233895593,103.7571724816904,4.082801566255534,235.6926106943929,5723.510911219495
0.075,10,550.0,400.0,0.003,1450.0,1100.0,25,55,0.15,8,32,0.05,0.25,3834.050846605123,110.3804098216148,108.56127541285431,103.89772631994745,4.083106877036413,245.28142523043152,5730.059947683103
0.075,8,550.0,400.0,0.002,1500.0,1150.0,20,55,0.15,8,32,0.05,0.25,3691.4589420807793,110.02151326731777,108.40407672742724,104.19712044754736,4.082801566255534,261.42588578197046,5731.392812477137
0.075,10,550.0,400.0,0.003,1450.0,1100.0,20,60,0.15,8,32,0.05,0.3,3623.928716789732,109.86942936333737,109.22316075543502,104.47895112813194,4.083106877036413,271.14758983267365,5731.954438700652
0.075,8,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,38,0.05,0.3,3718.5585519290157,109.9237732348552,108.31167737610717,104.11542072538765,4.082801566255534,257.7767551331285,5734.683214931371
0.075,10,550.0,400.0,0.002,1450.0,1100.0,20,60,0.15,8,35,0.05,0.3,3747.4974644706376,110.15769696198413,109.4586553232011,104.2610277288533,4.082801566255534,257.5919251852985,5735.760539733906
0.075,8,550.0,400.0,0.003,1450.0,1100.0,25,55,0.15,8,35,0.05,0.25,3854.91474490145,110.39129299969264,108.57517669450696,103.91058273463612,4.083106877036413,245.83965024810902,5754.763915365089
0.075,10,550.0,400.0,0.002,1450.0,1100.0,25,60,0.15,8,32,0.05,0.25,3772.9711701134966,110.13696936570014,109.43858711868972,104.24391932638834,4.082801566255534,256.8324737058456,5755.993300497563
0.08,8,550.0,400.0,0.002,1450.0,1100.0,20,55,0.15,8,32,0.05,0.25,4058.260267499753,111.10372042027002,108.99573086441902,103.53655785676486,4.357271989522715,224.27581166519965,5757.912323865585
0.075,10,550.0,400.0,0.002,1450.0,1150.0,20,55,0.15,8,35,0.05,0.3,3729.3813170312474,109.98473972863995,108.36718427796106,104.16408623280415,4.082801566255534,259.9472650697135,5759.528477025891
0.075,10,550.0,400.0,0.002,1500.0,1100.0,25,55,0.15,8,32,0.05,0.3,3944.7778728717685,110.91205840608788,108.93857444031687,103.80563492764941,4.082801566255534,237.75644695381607,5760.101090510899
0.075,10,550.0,400.0,0.003,1450.0,1150.0,20,55,0.15,8,32,0.05,0.3,3610.0185459426652,109.61064066025624,108.13424691438036,104.3818688342732,4.083106877036413,273.5692448943146,5766.382352009116
