f0,t_hold,t_switch,k1,k2,sse,peak,mid_mean,late_mean,jump_pct,loss
0.16,12,35,0.05,0.24,13905.203386781464,121.33874115514078,120.58396409830073,115.05429008086602,4.520652702501038,17874.861290154968
0.16,10,45,0.05,0.24,13724.132533100068,121.86913886601533,121.116782537669,115.53354034348605,4.520652702501038,17983.33452354773
0.16,10,35,0.04,0.3,14033.812250601262,121.42304694944804,120.66512532959275,115.12273236356262,4.520652702501038,18045.471240572584
0.16,10,40,0.05,0.12,13720.610923339504,121.86701161169782,121.17020199379124,115.73156389794191,4.520652702501038,18059.088928121324
0.16,8,35,0.04,0.12,13792.821118739972,121.83500013392143,121.12731730136265,115.66627706910252,4.520652702501038,18098.577004432685
0.18,8,35,0.05,0.2,14051.867238674915,121.50098296908412,120.74715360977396,115.20282459398737,4.847125499332305,18106.980156034475
0.16,8,40,0.04,0.24,13915.99385188653,121.81978142319262,121.06116477141464,115.47594118892904,4.520652702501038,18142.183528603065
0.16,10,45,0.05,0.2,13877.400787199924,122.04473320293884,121.30204093842706,115.7177960479811,4.520652702501038,18245.725025881467
0.16,12,35,0.05,0.2,14285.888146058414,121.70212522079316,120.94539424989469,115.3764661825276,4.520652702501038,18449.89303495344
0.16,8,40,0.04,0.2,14209.842673057967,122.13053884466693,121.37554898804046,115.76527584863048,4.520652702501038,18613.914359863054
0.16,10,45,0.05,0.16,14097.558224129038,122.27881303258144,121.55668131080643,115.99565909614233,4.520652702501038,18626.787170057374
0.16,10,35,0.04,0.24,14500.65137889801,121.85104741111142,121.0879289685922,115.49417874729365,4.520652702501038,18739.91628746892
0.18,8,35,0.05,0.16,14555.483960214393,121.98680903485898,121.23595629985535,115.65238291846616,4.847125499332305,18882.638086694104
0.16,10,50,0.05,0.3,14329.007303639888,122.59338873666802,121.83314303987022,116.15908418041319,4.520652702501038,18990.326429839493
0.16,10,50,0.05,0.24,14439.478963406365,122.71457843740694,121.96974823191962,116.30505513235028,4.520652702501038,19188.362180854932
