l_early,l_late,t_late,tau_b,b_slope,b_max,sse,peak,late_mean,loss
1600.0,1350.0,25,15,40.0,300.0,3523.295197016007,102.00399204978206,101.56570978883343,3904.582295785659
1600.0,1450.0,30,12,30.0,400.0,3523.604538801978,102.09734878622399,101.6600395439392,3904.85887555481
1550.0,1450.0,30,15,35.0,350.0,3519.087553257802,103.79349988744461,103.21898804993398,3913.97193408387
1550.0,1350.0,30,15,25.0,300.0,3535.1406178375987,102.28194489691148,101.84656322770073,3916.7472766429446
1550.0,1450.0,30,15,30.0,300.0,3435.8237884817013,106.06336817755889,105.35179216171547,3916.8543993244098
1600.0,1450.0,25,10,30.0,300.0,3462.9551365554953,105.60294710985079,104.88774230522758,3917.707918560461
1600.0,1400.0,25,15,40.0,350.0,3536.87004390391,101.96421353147157,101.52551704787538,3918.2141526813816
1550.0,1450.0,25,15,25.0,300.0,3445.171631542812,105.94058923004116,105.22804274556772,3918.8589897789634
1600.0,1450.0,25,15,40.0,400.0,3538.827654988479,101.95852494354179,101.5197692415974,3920.1820190449444
1600.0,1300.0,30,15,40.0,300.0,3521.041668771441,100.79355331065182,100.49366912192846,3920.539287860238
1600.0,1400.0,30,12,35.0,350.0,3539.699006813241,102.07634054359636,101.63881223424693,3920.948360583485
1600.0,1450.0,30,10,40.0,300.0,3453.7658328428824,105.83902139084331,105.12567362775097,3921.563146053223
1550.0,1450.0,30,15,25.0,400.0,3543.617582257491,102.25302110456506,101.81733709388644,3925.1324329026747
1600.0,1450.0,30,10,35.0,350.0,3534.5704964895576,103.64015188261892,103.06424119520501,3925.6572855569934
1600.0,1450.0,20,12,35.0,300.0,3482.4392652026195,105.38565536241146,104.66874791683449,3925.983359656292
1550.0,1450.0,30,15,35.0,300.0,3454.988002737719,105.9405264003192,105.22797941974662,3928.671665735056
1550.0,1400.0,30,15,25.0,350.0,3547.336196472573,102.23843513626919,101.80259870244694,3928.809908495866
1600.0,1450.0,25,12,40.0,350.0,3542.539496536699,103.47202308396992,102.89458244546016,3929.901227368478
1600.0,1400.0,20,12,25.0,300.0,3546.5729079017437,103.40356630471085,102.82550383721441,3932.5493245386606
1600.0,1400.0,20,15,25.0,350.0,3551.178974837983,101.9173460491813,101.47816180969053,3932.6232635721985
1600.0,1400.0,30,10,25.0,350.0,3551.4691843344435,102.07972941072887,101.64223643517849,3932.7188565282886
1600.0,1450.0,20,15,30.0,400.0,3552.9447674979638,101.91455025598069,101.4753369300842,3934.396160944127
1600.0,1450.0,25,12,25.0,400.0,3553.8600039819694,101.96453610647652,101.52584298103093,3935.2035469894995
1550.0,1450.0,25,15,30.0,350.0,3543.6495668849607,103.67039884422749,103.09476381465534,3935.4551942480243
1550.0,1450.0,25,15,30.0,300.0,3474.138478690694,105.76454885632619,105.05061445515715,3937.7232427242807
1550.0,1450.0,30,15,40.0,300.0,3471.002875813988,105.84729582852232,105.13401329129759,3939.273780311448
1600.0,1350.0,30,15,35.0,350.0,3539.2632674779143,100.7317594900474,100.43114760386263,3939.960136489632
1600.0,1350.0,30,10,30.0,300.0,3559.0178052335937,102.09989274102968,101.6626100304816,3940.2732324550984
1600.0,1450.0,25,10,35.0,300.0,3496.3693488731656,105.48308849763873,104.76694372315241,3944.844798722615
1550.0,1400.0,25,15,30.0,300.0,3554.6529295646546,103.62969199696622,103.05368601202005,3945.4945877756354
1550.0,1450.0,30,15,40.0,350.0,3553.853496228807,103.67039286406471,103.0947577799794,3945.658980002047
1600.0,1450.0,20,12,40.0,300.0,3507.641156156252,105.2940237277262,104.57640019519856,3946.687850082394
1600.0,1450.0,20,10,25.0,300.0,3505.7581602120836,105.33664332552456,104.61935271712085,3946.8797603479884
1600.0,1400.0,25,10,30.0,300.0,3560.5949548200892,103.47138181593365,102.89393534944176,3947.9433558849205
1550.0,1450.0,20,15,25.0,350.0,3559.3239330207703,103.61725507744936,103.04113580233894,3949.876438602407
1550.0,1450.0,20,15,25.0,300.0,3493.508760598785,105.64768830105945,104.93283486860557,3950.664418626613
1550.0,1400.0,30,12,25.0,300.0,3558.9315525477477,103.72950910465465,103.15441314501608,3952.1848325193228
1550.0,1450.0,25,15,35.0,300.0,3496.92434266526,105.64205849950402,104.92716083889079,3953.7758622253177
1600.0,1450.0,20,12,30.0,350.0,3574.529852617275,103.3307282343976,102.75200485223914,3959.115797184405
1600.0,1400.0,25,12,25.0,350.0,3577.87212091292,101.89291176775572,101.45347336019587,3959.3828002160017
1600.0,1350.0,25,12,25.0,300.0,3582.856944676699,101.87863172649466,101.4390448153072,3964.4109182471516
1550.0,1450.0,25,15,40.0,300.0,3515.6811514339097,105.54909463372486,104.83346726050495,3967.584734823988
1600.0,1400.0,30,12,40.0,350.0,3586.234456878646,101.95671867638896,101.51794417210913,3967.592187284948
1600.0,1450.0,25,10,40.0,300.0,3524.4437878882427,105.39215331472893,104.67529669279057,3968.3119751279714
1600.0,1450.0,30,10,40.0,350.0,3580.020879864449,103.51968045169077,102.94267309269692,3968.391920708965
1550.0,1450.0,30,12,25.0,300.0,3510.1857627132013,105.71712807594072,105.00282051948311,3971.134988759091
1550.0,1350.0,30,15,30.0,300.0,3590.946293453911,102.11206299474802,101.67490722433844,3972.2083932032792
1600.0,1450.0,30,10,25.0,400.0,3592.142050750152,101.95017512398965,101.5113325084547,3973.512420547481
1550.0,1450.0,20,15,30.0,300.0,3527.9270133336663,105.47207087123167,104.75583979040084,3975.83711921168
1600.0,1450.0,25,10,30.0,350.0,3591.9153277528044,103.36803863797253,102.78965370947867,3977.2027694717153
1600.0,1400.0,30,15,35.0,400.0,3575.5525006859093,100.62649185202132,100.32464156764205,3978.43555713733
1550.0,1400.0,25,15,35.0,300.0,3590.4248573712425,103.50969657400195,102.93259842005604,3978.5814031067457
1550.0,1450.0,25,15,35.0,350.0,3592.960678181889,103.50103345209686,102.9238565255217,3980.9324148629025
1550.0,1450.0,30,12,25.0,350.0,3591.6842108293777,103.59784518193581,103.02154914122167,3981.7904610721803
1600.0,1450.0,30,12,35.0,400.0,3602.364764237314,101.88425673950717,101.44472832155991,3983.9012881391186
1600.0,1300.0,30,12,25.0,300.0,3582.749387559218,100.66968762764472,100.3683453189237,3984.713521740394
1600.0,1450.0,20,10,30.0,300.0,3554.741481487459,105.16502126776552,104.44639152876911,3987.687100704856
1600.0,1350.0,30,15,40.0,350.0,3585.021543907544,100.61234948216502,100.31033294367768,3988.2120611747755
1600.0,1400.0,20,12,30.0,300.0,3605.4610926198525,103.2336842973155,102.65408150371735,3988.328236841976
1600.0,1350.0,30,10,35.0,300.0,3608.9148060120647,101.9840408629383,101.54555081797186,3990.22728292997
1600.0,1400.0,25,10,35.0,300.0,3606.672638514119,103.35396450118904,102.77545187942033,3991.6928098506487
1600.0,1400.0,25,15,25.0,400.0,3588.5938392536555,100.56966589990569,100.26714775755343,3992.732068634473
1550.0,1450.0,20,15,35.0,300.0,3554.558821862336,105.34985937222326,104.63267205127578,3996.3298132891773
1550.0,1450.0,30,12,30.0,300.0,3548.2431663947696,105.54347885837473,104.8278074419501,3999.8523384694527
1550.0,1400.0,30,12,30.0,300.0,3612.896930994887,103.55915289539759,102.98250463987306,4002.1318435586118
1550.0,1400.0,30,15,30.0,350.0,3622.5744500758537,102.00821052273584,101.56997220274883,4003.8570117133954
1550.0,1450.0,25,12,25.0,300.0,3558.682623883268,105.41929924816888,104.70265500953377,4003.9121431462363
1550.0,1400.0,25,15,40.0,300.0,3619.0146988583474,103.41862621775044,102.8407004917681,4005.2893481998567
1550.0,1450.0,20,15,30.0,350.0,3627.200152798532,103.38376380190367,102.80552157871837,4012.7900202370624
1600.0,1450.0,20,15,35.0,400.0,3630.5413491989275,101.69925158445876,101.25780167801632,4012.9215410668357
1550.0,1450.0,25,15,25.0,400.0,3631.849928506149,101.96502566405346,101.52633763515,4013.1926161019874
1550.0,1450.0,20,15,40.0,300.0,3576.2442878443076,105.25711204287917,104.53920037253465,4013.51773911903
