beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.08,10,550.0,400.0,0.003,55,0.05,0.08,2493.0016151732702,106.85781222017195,105.85047535088711,95.75322089497682,4.520652702501038,10.66306556815679,3015.619588366554
0.082,10,550.0,450.0,0.003,60,0.05,0.08,2400.958477115891,105.864731708765,105.09494027675319,95.27494507854078,4.5511417571237445,5.384180379113623,3016.564792095495
0.085,11,550.0,425.0,0.003,60,0.05,0.16,2704.2219078467087,108.52940526924162,107.60754884508965,95.68811617946938,4.762486803580357,7.538713964323739,3019.177154967787
0.082,10,550.0,400.0,0.003,60,0.05,0.08,2400.901912826016,107.9867746106566,107.27920768404894,97.78835666698589,4.634683323092759,45.194349697547096,3019.248898290167
0.082,10,550.0,400.0,0.0025,55,0.05,0.08,2569.750726249061,107.4380309944252,106.3578288494509,95.73224926800947,4.6345160183722145,9.644759858390282,3019.866338907857
0.08,10,550.0,425.0,0.003,60,0.05,0.12,2440.831606810013,106.11450252130851,105.34552471470246,95.05432053132175,4.479916494178848,3.6868244740549083,3019.902874191545
0.082,11,600.0,400.0,0.0025,60,0.05,0.08,2449.5335127043536,106.16685508332277,105.34626904768182,95.10401236865272,4.6345160183722145,3.6990656992909243,3021.459210086511
0.082,11,550.0,425.0,0.002,60,0.05,0.12,2526.7271541793966,106.75641594139633,105.9024023372501,94.82870834183544,4.592552819299112,1.806533847633935,3024.518984097127
0.085,10,550.0,450.0,0.003,60,0.05,0.12,2559.3876816230904,107.02443380914764,106.13870638570206,94.76102764964041,4.719160833998859,1.3701336117705392,3026.0073896468084
0.08,11,550.0,400.0,0.0025,55,0.05,0.08,2527.4290399914544,106.99546913146216,105.95193039275212,95.63341106718062,4.52048956773734,9.030477728854066,3027.217440244629
0.085,11,600.0,400.0,0.002,60,0.05,0.08,2570.7805127903034,107.06417167490291,106.16958923601217,95.21351490325262,4.805474533849852,3.7677870055314857,3027.396197041708
0.085,10,550.0,400.0,0.002,60,0.05,0.16,2727.878728460728,108.69254063334242,107.7663522455916,95.73526646152025,4.805474533849852,7.766950601425016,3028.327917861652
0.082,11,550.0,400.0,0.0025,60,0.05,0.08,2450.462189389072,108.11834559512099,107.3829898990821,97.66171282400366,4.6345160183722145,41.5804359440765,3028.41447238483
0.085,10,550.0,450.0,0.0025,60,0.03,0.16,2420.4513267125767,106.72587106020897,105.87222461586016,96.52266421305742,4.718965651019991,23.873451341416708,3029.6497411543924
0.082,11,550.0,400.0,0.0025,55,0.05,0.08,2605.1187404933066,107.82920068940015,106.73931058266257,96.04615075920691,4.6345160183722145,13.202811388883145,3030.2100759189493
0.08,10,550.0,400.0,0.002,60,0.07,0.08,2508.384609208491,106.64287592239947,105.86514358656218,94.34867716994536,4.520326351385884,0.03312920178795889,3031.4143685594345
0.08,11,550.0,425.0,0.0025,60,0.05,0.12,2466.9268676577253,106.22656643289172,105.42965066306127,94.90886628971806,4.479743197399055,2.6038094192004886,3032.058964279318
0.08,10,550.0,400.0,0.002,60,0.05,0.16,2518.3558686759616,106.64287592239947,105.80859937197688,94.77350700871574,4.520326351385884,1.8147074678484687,3032.902047563703
0.085,10,550.0,400.0,0.0025,60,0.05,0.16,2728.8104986245035,108.96819867535432,108.06391591779223,96.20148567987981,4.805648188688405,13.208045140902382,3032.9081116312823
0.082,11,550.0,400.0,0.003,55,0.05,0.08,2596.8010071771123,108.08065108192167,107.01859412184453,96.48612599890936,4.634683323092759,19.66115932491362,3033.737287853292
0.082,11,550.0,450.0,0.0025,60,0.05,0.08,2433.526056435261,105.9619068283074,105.16227569024485,95.09722506942019,4.550953614750353,3.8194134609649817,3034.092429531992
0.085,11,550.0,425.0,0.0025,60,0.07,0.08,2706.1434266069296,108.24347297504737,107.36009971167005,94.75590487792105,4.762302425822895,0.3816316341579301,3034.2298865805424
0.082,11,550.0,400.0,0.003,60,0.07,0.12,2703.0232293902036,108.37832941962071,107.51066185159566,94.43792024830479,4.634683323092759,0.029808196690538233,3035.5571088837105
0.085,10,600.0,400.0,0.0025,60,0.03,0.16,2455.097746459816,106.9007900376332,106.02586571724842,96.49766478723124,4.805648188688405,23.03114514990994,3037.3305334409442
0.085,10,550.0,425.0,0.0025,60,0.05,0.16,2663.258753216209,107.84126796449502,106.9051133779046,94.89055926191631,4.762302425822895,1.8002365264289206,3037.575002859766
0.085,11,600.0,400.0,0.003,60,0.05,0.12,2642.426845033728,107.6026585196634,106.68429576809163,95.02762746087586,4.805821756721196,2.4543083452899745,3038.452887494489
0.085,10,550.0,450.0,0.002,60,0.03,0.12,2406.256948466559,106.4221135301245,105.57907264043396,96.4031869902653,4.718770370425185,21.651496071184173,3038.686007039282
0.082,11,600.0,400.0,0.003,60,0.03,0.16,2368.967055319741,106.422216810788,105.61185577710205,96.67134436205437,4.634683323092759,27.40795127301032,3039.695939174027
