beta,tau_r,r_max,c_max,k_c,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.082,11,650.0,375.0,0.0025,2239.2364309589084,105.30577159062089,104.5860971361144,99.2897802133328,4.676309768391018,116.47297441841,3788.4612685652646
0.082,8,600.0,425.0,0.0025,2304.963363875823,103.87067982509883,103.19343639871916,98.23366319178184,4.592730633826614,81.82211798576965,3788.7893359230156
0.082,8,650.0,350.0,0.002,2231.6030458459772,104.79734645596373,104.11517873976126,99.0576602822094,4.717965360339571,108.88730664456216,3789.2709896335386
0.08,10,650.0,400.0,0.0025,2410.8211676647675,103.0906150594089,102.37813671717547,97.13560553939428,4.52048956773734,50.091596994712674,3791.4453105678213
0.08,10,650.0,400.0,0.0035,2313.1769336293682,103.57122354456092,102.89712119313333,97.99301187740113,4.520815755717722,74.80762233357603,3793.819957797695
0.082,8,650.0,400.0,0.0035,2350.4519159362603,103.41796318052104,102.72993091391959,97.73377119863312,4.63485054418189,66.955233983103,3796.533211047943
0.078,11,650.0,375.0,0.0025,2290.42322210969,103.7914417975532,103.13220353444879,98.26393281168238,4.446228375927586,82.96525629551317,3797.5063353180085
0.08,11,600.0,425.0,0.0025,2245.9581794630703,104.35112321971043,103.68193367876756,98.7718151485233,4.479743197399055,99.71022819787933,3797.874134177284
0.082,8,650.0,400.0,0.003,2401.219955413303,103.17465833226156,102.46736638839339,97.302046918015,4.634683323092759,54.63850530954194,3798.7998558362306
0.08,10,650.0,375.0,0.003,2237.8885745660673,104.34154574904115,103.67854848403184,98.81869957590142,4.561396869632572,101.58209019008822,3806.1901557770375
0.08,11,650.0,425.0,0.0035,2405.075483885957,103.01618498796437,102.30598017450286,97.14794417442981,4.480089704331891,50.88929658368927,3806.6771793343382
0.08,10,600.0,425.0,0.0025,2283.2714952233246,103.94775931506251,103.28551822987185,98.42683947892243,4.479743197399055,88.36251519253194,3807.624816309726
0.08,9,650.0,350.0,0.002,2240.5944416888055,104.486173280583,103.82579533127075,98.92111100903345,4.601863326630906,104.67049170957866,3811.0613220316336
0.082,11,600.0,425.0,0.0025,2229.115140092507,105.10260870388744,104.40357952586653,99.28289796094658,4.592730633826614,117.18435287260256,3813.9624608216404
0.082,10,650.0,425.0,0.0025,2499.9813283701887,102.7642375887075,101.99041756706072,96.31713320954304,4.592730633826614,31.039689436627782,3815.068865819887
0.08,9,650.0,375.0,0.003,2280.6857784943923,103.9067668114677,103.2512333359621,98.4466396330579,4.561396869632572,89.25374678111177,3818.438236353156
0.08,8,650.0,350.0,0.002,2282.617387569981,104.05285752294084,103.39990348226607,98.55043039418587,4.601863326630906,92.19595479534767,3819.1159042942454
0.082,10,650.0,375.0,0.003,2219.4602949562764,105.09277029372606,104.40013487247113,99.33120279474811,4.676466647998723,119.27372172855218,3822.9167690647864
0.082,8,650.0,400.0,0.0025,2460.311307792177,102.92702818635429,102.1999270343529,96.85972532944544,4.6345160183722145,43.310661647427715,3823.4244613679634
0.08,10,650.0,400.0,0.002,2472.001505108613,102.84386736748178,102.111376511534,96.69101403223615,4.520326351385884,39.21179893486346,3823.5586648591852
0.085,11,600.0,425.0,0.002,2302.6640625467253,105.9399327173909,105.17187010435846,99.52342460053691,4.7621179558535065,123.63880166240546,3828.0948181064064
0.08,11,650.0,375.0,0.003,2217.6934475768444,104.78018576065841,104.10963980231774,99.19391910628246,4.561396869632572,114.823954105942,3829.8034799556885
0.08,9,600.0,425.0,0.002,2390.6274432136884,103.2845469002503,102.60765270863685,97.60779117829095,4.479569813949191,63.104737859627384,3831.439593098958
0.082,8,600.0,400.0,0.002,2241.0297467161804,104.6657172581214,103.99962618624367,99.08026524068306,4.634348629978358,110.45168312596772,3832.4799666678864
0.082,9,650.0,350.0,0.002,2224.9828153650333,105.24223568729137,104.5522248096817,99.43652485610261,4.717965360339571,122.71220344584917,3835.9734563492016
0.082,9,650.0,425.0,0.0035,2452.8977018023998,102.84634568172469,102.12168475246143,96.86861206384768,4.593085996270885,43.985580990165865,3837.4726425781982
0.08,10,650.0,350.0,0.002,2221.560972750222,104.92333219917889,104.25544602738486,99.29493598474477,4.601863326630906,118.05344058205227,3839.1891664067066
0.078,11,600.0,425.0,0.002,2367.119408820759,103.34011618277039,102.67900994264964,97.78689534899857,4.366635155331089,68.48691843708913,3839.790145518817
0.082,8,650.0,375.0,0.0035,2233.9648813479207,104.4342569305611,103.77562966552496,98.98380758134059,4.676623449186268,107.911588490114,3839.9099397555374
0.08,11,650.0,425.0,0.003,2467.4314046184236,102.76446205397446,102.03437784881419,96.70190002691326,4.479916494178848,39.90459635180411,3840.416208690699
0.078,10,650.0,375.0,0.002,2399.95018188212,103.13898344831802,102.46838572314762,97.48796112008598,4.446079239242606,59.8218745244816,3842.524021691055
0.078,11,650.0,375.0,0.003,2259.2740200633325,104.01491455322162,103.37377724852404,98.6661569976032,4.446377438062865,96.95835163749544,3842.886826992888
0.082,8,600.0,425.0,0.003,2268.3999347449962,104.13617650669521,103.48034055199659,98.71032571995293,4.592908359469039,98.41020067233565,3843.414506310264
0.082,9,600.0,425.0,0.003,2232.4362553135115,104.54429567229089,103.88134911004775,99.05885535774861,4.592908359469039,110.49279157870133,3843.705314957041
0.078,10,650.0,350.0,0.002,2260.1250730849038,104.15335442281766,103.51486453440968,98.76433554776327,4.48581264194563,99.84535675351228,3844.033073484129
0.085,8,600.0,425.0,0.003,2222.5128173447433,105.22277031546211,104.52357755335478,99.44967991126373,4.762486803580357,123.99925398843382,3847.653521608689
0.08,9,600.0,425.0,0.0025,2339.85331435867,103.54781599015823,102.89244875953764,98.0846676102035,4.479743197399055,77.78525685103239,3847.769052264254
0.078,10,650.0,375.0,0.0025,2353.356640481705,103.36554721002454,102.71350614490208,97.8986857836044,4.446228375927586,72.05841091332692,3848.477494440798
0.085,11,650.0,375.0,0.002,2342.839368837529,106.1829002263486,105.39583455949753,99.58795274652465,4.848840104418728,125.23434963912648,3850.8770657565333
0.078,11,650.0,350.0,0.002,2228.174448453401,104.58245415822861,103.93678988100018,99.13279360387696,4.48581264194563,112.73787698331002,3852.525735292454
0.08,8,650.0,375.0,0.0025,2390.4733448400066,103.24823351707063,102.5816961963158,97.66877133098777,4.5612439008740235,65.14395460145826,3852.729187760757
0.085,10,650.0,375.0,0.0025,2290.6494558257186,105.96828080668082,105.21027794176746,99.64676569866403,4.849002939620917,128.91694086166422,3857.6747391219815
0.08,9,600.0,400.0,0.002,2257.73047228997,104.32350406966708,103.67930141070629,98.91334080948047,4.520326351385884,105.12582881980205,3858.306125241689
0.078,11,650.0,400.0,0.003,2399.789912263111,103.03171708727463,102.36097554694075,97.44487795304978,4.406671428425701,59.13352430205307,3858.3683611618494
0.08,8,650.0,375.0,0.002,2442.1274103966184,103.0165679322328,102.33111823891514,97.24965708127124,4.56109085561196,53.31568275422773,3858.706125591334
0.085,11,650.0,400.0,0.0035,2285.9756570850436,105.85382376807438,105.09581251298341,99.60220382280869,4.805995237991678,127.8900043314251,3859.3846386637024
0.078,11,650.0,400.0,0.0035,2351.2063476581084,103.263699537839,102.61145705332278,97.85835196614208,4.406830318235411,71.36230600871774,3860.3824568060313
0.085,8,650.0,425.0,0.002,2583.765442243468,102.61374336243884,101.78158904736617,95.70809034789195,4.7621179558535065,19.591548500595856,3863.739929623685
0.08,9,650.0,400.0,0.0035,2386.7409475605223,103.13961255934355,102.47298707537837,97.62404099137292,4.520815755717722,64.37355703515252,3864.198957143468
0.078,11,600.0,425.0,0.0025,2320.371294705781,103.59741781683641,102.95742085369868,98.25393331606196,4.366804112410194,83.42266163156486,3865.28734176896
0.082,9,600.0,400.0,0.002,2225.704797901558,105.07586771699337,104.40260509067032,99.43007113756391,4.634348629978358,123.27806464902139,3865.899860589545
0.08,8,650.0,375.0,0.003,2346.1923782122485,103.47580908562256,102.8276555864772,98.07770827679967,4.561396869632572,77.81775864420611,3866.3239156322898
0.082,9,650.0,375.0,0.0035,2211.469500180221,104.87765436609546,104.2112979698231,99.36242950753075,4.676623449186268,121.67256548293958,3866.8132213265762
0.078,9,650.0,350.0,0.002,2313.814032425652,103.72794785239711,103.09655333063225,98.39891413430361,4.48581264194563,87.83325998275572,3870.025374068746
0.08,9,650.0,375.0,0.0035,2251.9164579419203,104.13125939797749,103.49365755973255,98.8471493685605,4.561549761925887,103.66836637711054,3871.3902589455324
0.08,10,600.0,425.0,0.003,2250.893534425933,104.20745699984336,103.56622465271403,98.8940312923685,4.479916494178848,105.21858276879149,3871.708920432542
0.082,8,650.0,400.0,0.002,2528.2199303971925,102.67499545633468,101.92752239579389,96.40655975398859,4.634348629978358,33.06384088554226,3872.015558829517
0.085,10,600.0,425.0,0.0025,2264.583910436915,105.79501248591802,105.05796907563618,99.67268591718233,4.762302425822895,130.97549014800552,3872.4993775942366
0.08,10,600.0,400.0,0.002,2229.9746643739663,104.72640405531797,104.07533955639865,99.25838500903542,4.520326351385884,117.47806739510341,3872.6613865690474
0.078,10,650.0,375.0,0.003,2313.77670981987,103.58810182312936,102.95409776030742,98.29940680202695,4.446377438062865,85.08441875769832,3872.934783965539
0.085,9,650.0,375.0,0.003,2250.493215951799,105.75139662398415,105.02164072618817,99.69466373640792,4.849165693425883,132.1674426177017,3873.844885042714
0.08,9,650.0,400.0,0.003,2440.604809541676,102.9024252716555,102.21694966345589,97.20215630166125,4.520652702501038,52.56781682308957,3874.5887225724136
0.08,8,600.0,400.0,0.002,2305.190560576484,103.92401630462953,103.2866017852406,98.57109778358853,4.520326351385884,93.55247037797446,3874.8967179342976
0.082,10,600.0,425.0,0.003,2216.9844396499548,104.95597851271998,104.285842482383,99.41029853712064,4.592908359469039,123.38567049293137,3876.2261720713286
0.078,11,650.0,400.0,0.0025,2456.027102525336,102.79559010759417,102.1058194395729,97.02118845549305,4.4065124591511795,47.78758698341899,3876.7005860625445
0.08,8,650.0,350.0,0.0025,2256.511754174366,104.27121230582303,103.63617861461049,98.94676124532263,4.602006196812591,106.70954903421264,3877.995699864318
0.08,10,650.0,375.0,0.0035,2217.8240184215088,104.56697958820152,103.92197811418323,99.22073201923924,4.561549761925887,116.98513853795802,3880.643958962305
0.082,8,650.0,350.0,0.0025,2218.403984868979,105.02234662475271,104.35856425612106,99.46492886296392,4.718111883886955,125.06000561297915,3880.988246565648
0.08,11,600.0,425.0,0.003,2222.937041246863,104.61183010890143,103.96371915623504,99.24065369108087,4.479916494178848,117.63651365860119,3885.1525354210744
0.082,9,650.0,425.0,0.003,2522.1817418583737,102.58925047000389,101.84435672341873,96.4139986304058,4.592908359469039,33.642196009546616,3888.069215168512
