t,date,price,actual_close,inventory,L_t,R_t,C_t,B_t,F_t,S_t,D_t,g_t
53,2026-04-22,125.1626,101.55,46448.2252,1450.0,450.0,121.2595,300.0,0.002035,9421.2595,9755.2366,0.033398
54,2026-04-23,125.5388,106.01,46326.9657,1450.0,450.0,118.8584,300.0,0.001842,9418.8584,9751.8875,0.033303
55,2026-04-24,125.9151,105.88,46208.1072,1450.0,450.0,116.5049,300.0,0.001666,9416.5049,9748.7227,0.033222
56,2026-04-25,126.2916,,46091.6024,1450.0,450.0,114.1979,300.0,0.001508,9414.1979,9745.7245,0.033153
57,2026-04-26,126.6684,,45977.4044,1450.0,450.0,111.9367,300.0,0.001364,9411.9367,9742.8768,0.033094
58,2026-04-27,127.0457,101.97,45865.4678,1450.0,450.0,109.7202,300.0,0.001234,9409.7202,9740.1651,0.033044
59,2026-04-28,127.4235,104.48,45755.7476,1450.0,450.0,107.5476,300.0,0.001117,9407.5476,9737.5763,0.033003
60,2026-04-29,127.802,112.49,45648.2001,1450.0,450.0,105.418,300.0,0.001011,9405.418,9735.0987,0.032968
61,2026-04-30,128.1812,110.86,45542.7821,1450.0,450.0,103.3306,300.0,0.000915,9403.3306,9732.7214,0.032939
62,2026-05-01,128.5612,109.2,45439.4515,1450.0,450.0,101.2845,300.0,0.000827,9401.2845,9730.4349,0.032915
63,2026-05-02,128.942,,45338.1671,1450.0,450.0,99.2789,300.0,0.000749,9399.2789,9728.2304,0.032895
64,2026-05-03,129.3238,,45238.8881,1450.0,450.0,97.3131,300.0,0.000677,9397.3131,9726.1001,0.032879
65,2026-05-04,129.7064,114.06,45141.5751,1450.0,450.0,95.3861,300.0,0.000613,9395.3861,9724.0367,0.032865
66,2026-05-05,130.0901,110.31,45046.189,1450.0,450.0,93.4974,300.0,0.000555,9393.4974,9722.034,0.032854
67,2026-05-06,130.4747,101.96,44952.6916,1450.0,450.0,91.646,300.0,0.000502,9391.646,9720.0861,0.032844
68,2026-05-07,130.8604,103.37,44861.0456,1450.0,450.0,89.8313,300.0,0.000454,9389.8313,9718.1878,0.032836
69,2026-05-08,131.2471,100.25,44771.2143,1450.0,450.0,88.0525,300.0,0.000411,9388.0525,9716.3343,0.032828
70,2026-05-09,131.6349,,44683.1619,1450.0,450.0,86.3089,300.0,0.000372,9386.3089,9714.5214,0.032821
71,2026-05-10,132.0238,,44596.8529,1450.0,450.0,84.5999,300.0,0.000336,9384.5999,9712.7453,0.032815
72,2026-05-11,132.4137,104.58,44512.253,1450.0,450.0,82.9247,300.0,0.000304,9382.9247,9711.0025,0.032808
73,2026-05-12,132.8046,107.69,44429.3283,1450.0,450.0,81.2827,300.0,0.000275,9381.2827,9709.2898,0.032801
74,2026-05-13,133.1967,105.72,44348.0456,1450.0,450.0,79.6732,300.0,0.000249,9379.6732,9707.6045,0.032793
75,2026-05-14,133.5898,106.59,44268.3724,1450.0,450.0,78.0956,300.0,0.000226,9378.0956,9705.9441,0.032785
76,2026-05-15,133.984,109.47,44190.2769,1450.0,450.0,76.5492,300.0,0.000204,9376.5492,9704.3061,0.032776
77,2026-05-16,134.3792,,44113.7277,1450.0,450.0,75.0334,300.0,0.000185,9375.0334,9702.6887,0.032766
78,2026-05-17,134.7755,,44038.6943,1450.0,450.0,73.5476,300.0,0.000167,9373.5476,9701.0898,0.032754
79,2026-05-18,135.1728,109.69,43965.1467,1450.0,450.0,72.0913,300.0,0.000151,9372.0913,9699.508,0.032742
80,2026-05-19,135.5711,110.92,43893.0554,1450.0,450.0,70.6638,300.0,0.000137,9370.6638,9697.9416,0.032728
81,2026-05-20,135.9704,105.16,43822.3916,1450.0,450.0,69.2645,300.0,0.000124,9369.2645,9696.3893,0.032712
82,2026-05-21,136.3707,104.92,43753.1271,1450.0,450.0,67.893,300.0,0.000112,9367.893,9694.85,0.032696
83,2026-05-22,136.772,104.25,43685.2341,1450.0,450.0,66.5486,300.0,0.000101,9366.5486,9693.3225,0.032677
84,2026-05-23,137.1743,,43618.6854,1450.0,450.0,65.2309,300.0,9.2e-05,9365.2309,9691.8059,0.032657
85,2026-05-24,137.5774,,43553.4545,1450.0,450.0,63.9392,300.0,8.3e-05,9363.9392,9690.2992,0.032636
86,2026-05-25,137.9815,93.64,43489.5153,1450.0,450.0,62.6732,300.0,7.5e-05,9362.6732,9688.8018,0.032613
87,2026-05-26,138.3865,96.28,43426.8421,1450.0,450.0,61.4321,300.0,6.8e-05,9361.4321,9687.3129,0.032588
88,2026-05-27,138.7924,92.88,43365.41,1450.0,450.0,60.2157,300.0,6.1e-05,9360.2157,9685.8318,0.032562
89,2026-05-28,139.1992,92.4,43305.1943,1450.0,450.0,59.0234,300.0,5.6e-05,9359.0234,9684.3581,0.032533
90,2026-05-29,139.6067,91.89,43246.1709,1450.0,450.0,57.8546,300.0,5e-05,9357.8546,9682.8913,0.032504
