beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,sse,peak,mid_mean,late_mean,jump_pct,tail_err,loss
0.079,11,550.0,400.0,0.0035,62,0.08,0.08,2375.299752291813,107.35045187760187,106.7658886144341,95.63775901894732,4.463816867475545,5.0009589745504455,2774.5203130317605
0.082,10,525.0,425.0,0.0035,62,0.08,0.08,2452.470831651024,108.18663073578861,107.57801058235547,96.0141222639921,4.593085996270885,7.6539410079608245,2774.7327586437686
0.08,10,575.0,375.0,0.0035,62,0.08,0.06,2321.409814597035,107.45038157128421,106.86607471474792,96.62846573589741,4.561549761925887,17.107669143944868,2775.1864380103107
0.079,12,575.0,375.0,0.0035,62,0.08,0.08,2418.433030686178,107.81896061221111,107.21540831851766,95.91187180829543,4.504031799288888,7.117086682835948,2775.822447682041
0.079,11,550.0,375.0,0.0035,62,0.08,0.1,2474.244707024792,108.37066815522124,107.79737126081511,95.95054048394233,4.504031799288888,7.004292826046333,2775.9714937554218
0.08,10,550.0,400.0,0.0035,62,0.08,0.06,2309.5332169401117,107.39669004555869,106.82479246223723,96.69151361565375,4.520815755717722,18.232624910249978,2776.4641916951036
0.08,10,575.0,375.0,0.003,62,0.08,0.06,2329.887454744022,107.21882542537732,106.6158286049204,96.2358494832956,4.561396869632572,11.731654563455667,2776.857009306778
0.081,10,525.0,425.0,0.003,62,0.08,0.06,2339.1120724000057,107.49882108360593,106.9040481552619,96.52617594142673,4.536406382923186,15.37501699165249,2776.891606405033
0.08,10,550.0,400.0,0.0035,62,0.08,0.08,2385.856558241094,107.39669004555869,106.8040501886118,95.54033883495725,4.520815755717722,4.125950205368978,2777.081982463231
0.079,10,575.0,375.0,0.0035,62,0.08,0.06,2292.664441642819,107.02701721863347,106.45671924806739,96.40607477655855,4.504031799288888,14.461210354834062,2777.227660401779
0.079,10,525.0,400.0,0.003,62,0.07,0.1,2373.4478731555337,107.69159288552996,107.1301741188604,96.32651829678905,4.463655896520535,13.149528926218405,2777.232823552899
0.08,10,550.0,400.0,0.003,62,0.08,0.06,2319.1799923614553,107.1498443357576,106.55799276853752,96.27251576253792,4.520652702501038,12.32723576771448,2777.33434323006
0.079,10,550.0,375.0,0.003,62,0.07,0.1,2384.607242249512,107.76048842722169,107.18802804179104,96.29064772135021,4.5038808598588,12.545111008095155,2777.7696060846497
0.08,11,575.0,375.0,0.0035,62,0.08,0.08,2429.220661331516,107.84985302655747,107.2382327536728,95.79991257704516,4.561549761925887,5.942579883396999,2778.136516453869
0.081,10,550.0,400.0,0.003,62,0.08,0.06,2352.5293313605894,107.56851101522365,106.9624141372345,96.48862536590705,4.577661845110503,14.6948148742912,2778.6483090814836
0.079,10,525.0,375.0,0.0025,62,0.08,0.1,2481.646249381488,108.49424950698267,107.93253973120905,96.10814941992295,4.503729844940119,8.473950893390887,2778.658081464646
0.08,10,550.0,375.0,0.0035,62,0.08,0.1,2487.0889131764534,108.4288106804186,107.84739220253039,95.85470960899006,4.561549761925887,5.966236426619418,2778.6623063794505
0.079,11,575.0,375.0,0.0035,62,0.08,0.08,2389.047044150375,107.42096993300399,106.82387656284921,95.5903002341333,4.504031799288888,4.536354312836478,2779.206285570819
0.08,10,525.0,425.0,0.003,62,0.08,0.06,2310.09552784583,107.08087569667764,106.500157285476,96.30916810552024,4.479916494178848,12.937669926779755,2779.6648317196928
0.08,10,525.0,425.0,0.0035,62,0.08,0.06,2299.2071072877734,107.34299254623221,106.78349436059031,96.75457343634173,4.480089704331891,19.394074866729024,2779.7149438048455
0.081,10,525.0,425.0,0.0035,62,0.07,0.1,2408.3862015247287,107.76500194135609,107.1642039632349,95.97246963643116,4.536581805812867,8.572693428574343,2780.321158362407
0.081,10,575.0,375.0,0.0035,62,0.08,0.08,2438.1981979129655,107.87336143798555,107.25378555420575,95.68220762736122,4.619080312317814,4.833489598120428,2780.3961061052905
0.08,11,525.0,425.0,0.0035,62,0.07,0.1,2397.341163544303,107.70735842868557,107.11483989091562,96.05822758067502,4.480089704331891,9.683956112776608,2781.2232831743677
0.08,10,525.0,400.0,0.0035,62,0.08,0.08,2414.762710507955,108.37460059442766,107.82578190358745,96.80473621459049,4.520815755717722,18.10565894591916,2781.5112944715866
0.079,10,550.0,400.0,0.0035,62,0.08,0.06,2284.609080085098,106.97381710605289,106.41572127936294,96.46787508864446,4.463816867475545,15.477618612584227,2781.552755747112
0.079,11,575.0,375.0,0.003,62,0.08,0.06,2322.354596704298,107.19215036567962,106.59704478157741,96.33946076807909,4.5038808598588,13.243684354650636,2781.5596118040867
0.079,12,525.0,425.0,0.0035,62,0.07,0.1,2385.0381683711253,107.64284488608199,107.0586946627028,96.13847389265612,4.423609693062169,10.803275904479218,2782.0212915780085
0.081,10,575.0,375.0,0.003,62,0.08,0.06,2367.6213244300166,107.63821334700526,107.02078015531315,96.45106088247881,4.618925466105361,14.030111222078029,2782.3181120402332
0.079,11,550.0,400.0,0.003,62,0.08,0.06,2310.972248455682,107.10656145585561,106.52272888590133,96.3614092600738,4.463655896520535,13.691014703134844,2782.553100205844
0.079,11,525.0,400.0,0.003,62,0.08,0.1,2461.309138715389,108.05348333760249,107.47286457804705,95.58643246914926,4.463655896520535,4.044567757080981,2783.063729543628
0.08,11,525.0,425.0,0.003,62,0.08,0.06,2330.155138586279,107.44435064146299,106.85772942018627,96.60546418768638,4.479916494178848,16.760440596449442,2783.106874892129
0.08,10,575.0,375.0,0.0035,62,0.07,0.08,2343.951150762729,107.45038157128421,106.85638216656363,96.41235310196996,4.561549761925887,14.604183365049678,2783.237977615063
0.08,10,550.0,400.0,0.0035,62,0.07,0.08,2331.824290851292,107.39669004555869,106.81510275947679,96.47527150043291,4.520815755717722,15.6432901568758,2783.31393356801
0.08,10,575.0,375.0,0.0035,62,0.08,0.08,2399.05308046511,107.45038157128421,106.84532635358964,95.47800746201268,4.561549761925887,3.6095920911221446,2783.403013256503
0.082,10,550.0,425.0,0.0035,62,0.08,0.06,2352.903729265756,107.18834972058424,106.556942901322,95.90272316611704,4.593085996270885,7.7678384177163595,2783.694471581147
0.079,11,575.0,375.0,0.0035,62,0.08,0.06,2314.6666539367784,107.42096993300399,106.84436316340809,96.72809356569228,4.504031799288888,18.86390620151822,2783.720579025349
0.079,12,525.0,400.0,0.0025,62,0.08,0.08,2439.4640858284292,108.16771379547856,107.58044577592693,96.32969628660663,4.463494845059901,11.481454030147605,2784.70156390937
0.081,11,550.0,425.0,0.0035,62,0.08,0.06,2344.9267666265882,107.16503807721878,106.54163844094259,96.00915903115855,4.536581805812867,9.03172937933128,2784.7992257703368
0.079,11,550.0,400.0,0.0035,62,0.08,0.06,2301.8156133047223,107.35045187760187,106.78636616077969,96.77609164834749,4.463816867475545,19.8164718817284,2784.8910030373563
0.081,10,525.0,425.0,0.0025,62,0.08,0.06,2350.4775559551085,107.22794126630959,106.6110609936516,96.06380454550296,4.536230872300129,9.507240052511696,2784.9018296442114
0.08,12,550.0,400.0,0.0035,62,0.08,0.08,2450.8926308318346,108.16440699420383,107.55922211463613,96.15960766346109,4.520815755717722,9.406109930356095,2785.0449453613564
0.08,11,550.0,400.0,0.003,62,0.08,0.06,2344.641453639032,107.53087524004047,106.9327978577646,96.58280230655953,4.520652702501038,16.252497601560247,2785.08021176197
0.08,10,550.0,375.0,0.0035,62,0.08,0.08,2430.8728525304105,108.4288106804186,107.8674804841053,96.74161313686872,4.561549761925887,16.98528103572967,2785.237340295403
0.08,10,525.0,425.0,0.0035,62,0.07,0.08,2321.247672596457,107.34299254623221,106.77380750524553,96.53820182388395,4.480089704331891,16.71872358363204,2785.3609225540304
0.08,11,525.0,400.0,0.0025,62,0.08,0.08,2453.891827436432,108.23816766341734,107.642395601781,96.25037159967465,4.52048956773734,10.320983076929277,2785.455262484724
0.081,10,525.0,400.0,0.0025,62,0.08,0.08,2466.628708753345,108.3017023650251,107.69751352571575,96.16549423669892,4.577496625926858,9.167355527814639,2785.585732145026
0.079,10,550.0,375.0,0.0035,62,0.07,0.1,2381.444189012688,107.99048920712285,107.43668997771776,96.67924933699325,4.504031799288888,18.02801633435248,2785.651442422959
0.079,11,525.0,425.0,0.003,62,0.08,0.06,2301.5717367766415,107.02100713543835,106.44843199591647,96.3833333063874,4.423438694470172,14.145659304087241,2785.725415721924
0.081,11,550.0,400.0,0.0035,62,0.08,0.08,2462.5108968091736,108.20637632120989,107.59301066298099,96.0572130238874,4.577826981705213,8.139328844101449,2785.754259987078
0.081,10,550.0,400.0,0.0025,62,0.08,0.06,2362.1567179378126,107.31337508244717,106.68648341497638,96.05355120425905,4.577496625926858,9.273906029589,2785.7769268743345
0.082,10,550.0,400.0,0.0035,62,0.08,0.08,2472.069535145341,108.24129271409946,107.61984952156608,95.94929897710108,4.63485054418189,6.917230957421931,2785.8442826534197
0.079,11,525.0,400.0,0.0035,62,0.08,0.08,2402.317830948807,108.29949683812178,107.75864619630461,96.87560893557989,4.463816867475545,19.50136933937995,2785.8635094854517
0.08,12,550.0,425.0,0.0035,62,0.08,0.06,2335.5219417934286,107.13476843378947,106.51948353115104,96.11012126158285,4.480089704331891,10.333341201712607,2785.9807407479097
0.08,12,525.0,425.0,0.003,62,0.08,0.08,2434.00363001302,107.81147503839556,107.19806647773189,95.75105452975785,4.479916494178848,5.534453678838215,2786.127980719907
0.079,10,525.0,400.0,0.0035,62,0.07,0.1,2369.470059410619,107.93678140751003,107.39528541572012,96.74122773707654,4.463816867475545,19.164477450670574,2786.5046466196377
0.081,10,550.0,400.0,0.0035,62,0.07,0.1,2423.7694423111743,107.81918490364147,107.20577133517,95.90878095817229,4.577826981705213,7.801552111659078,2786.5958041819326
0.08,10,525.0,425.0,0.0035,62,0.07,0.1,2376.929023341452,107.34299254623221,106.75640081950613,95.76345978302356,4.480089704331891,6.852115595794284,2786.7684386990873
0.082,10,525.0,425.0,0.0025,62,0.08,0.06,2386.9879915832794,107.64134231242426,107.00994098977014,96.27280515299414,4.592730633826614,11.514414663218812,2786.878925369711
0.08,11,550.0,400.0,0.0035,62,0.07,0.1,2413.734536049772,107.77859994044914,107.17334599220851,96.00961168494622,4.520815755717722,9.015623545189628,2786.9449692368853
0.081,10,525.0,425.0,0.003,62,0.07,0.08,2362.3670166344664,107.49882108360593,106.89423203286421,96.30773364417428,4.536406382923186,12.983263674663402,2787.0588612407464
0.079,12,550.0,400.0,0.0035,62,0.07,0.1,2402.137885403877,107.7308853762838,107.13389185605006,96.1048043358075,4.463816867475545,10.258230697420919,2787.098973932893
0.079,11,525.0,425.0,0.0035,62,0.07,0.1,2366.3574313557438,107.27994550357802,106.70162326076499,95.84411150216306,4.423609693062169,7.80085389106591,2787.7183677011294
0.08,10,525.0,400.0,0.0025,62,0.07,0.1,2419.2064011944744,107.87204239314207,107.27584056822941,96.1163405615692,4.52048956773734,10.08248771801324,2787.726381155616
0.079,10,525.0,425.0,0.0035,62,0.08,0.06,2278.0553254256715,106.92061145908671,106.37470809237182,96.52968648192021,4.423609693062169,16.52915047544184,2787.787020560824
0.08,11,525.0,425.0,0.0025,62,0.08,0.06,2341.149357046294,107.17669365067461,106.56819256239089,96.14781198732427,4.479743197399055,10.656326970557489,2787.881025630433
0.082,11,550.0,425.0,0.0035,62,0.08,0.06,2383.6319905557925,107.57704705148986,106.93904417261308,96.21714233917083,4.593085996270885,10.980767669547289,2787.9178807228727
0.079,11,525.0,425.0,0.0035,62,0.08,0.06,2290.830578096214,107.27994550357802,106.72836706734611,96.82408279293509,4.423609693062169,20.792790399879202,2788.2496798535985
0.08,11,550.0,400.0,0.0025,62,0.08,0.06,2353.561098419915,107.27873550896179,106.66007418007737,96.15210264207724,4.52048956773734,10.56841495224448,2788.2728136487385
0.08,10,525.0,400.0,0.003,62,0.08,0.1,2475.555592241723,108.1255408890677,107.5364786770921,95.50124590973454,4.520652702501038,3.3323749795654525,2788.359293610259
0.079,10,550.0,375.0,0.0025,62,0.07,0.1,2394.1989343550117,107.52635046696446,106.93469209324844,95.89236078497467,4.503729844940119,7.952429252217964,2788.434558331152
0.081,10,575.0,375.0,0.0025,62,0.08,0.06,2375.641292649011,107.39884501517633,106.76192810275663,96.04327168553884,4.618770542450457,9.043323681015975,2788.612649557946
0.079,10,525.0,375.0,0.003,62,0.08,0.1,2485.344835118136,108.73046325006032,108.18821263459768,96.50750296579889,4.5038808598588,13.19813898841485,2788.6976391243347
0.079,12,525.0,425.0,0.003,62,0.08,0.06,2319.9236862220346,107.38303007813725,106.80465029035409,96.67920288115832,4.423438694470172,18.12749864610912,2788.936284093314
