beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,m_amp,m_mu,m_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.078,11,525.0,400.0,0.0035,60,0.08,0.08,0.008,42.0,3.0,3147.125732731806,104.69058706834186,101.35453466080985,90.90472106103469,4.406830318235411,31.78101714342775,396.37982930897186,7996.115289689769
0.078,10,525.0,400.0,0.003,62,0.08,0.08,0.004,42.0,3.0,2484.072401515517,104.33974835384257,103.78068878844424,93.51892779159849,4.406671428425701,1.52203205049299,574.0170252437014,7996.30080865873
0.078,10,500.0,400.0,0.003,60,0.07,0.1,0.006,42.0,5.0,3455.5816431190915,104.1557162692783,100.29951711207214,90.46548470764394,4.406671428425701,37.55205186073425,322.54261239814184,7996.380689474864
0.08,11,550.0,400.0,0.003,62,0.07,0.08,0.004,40.0,3.0,2380.7094185447886,104.82914525208385,104.00997387020205,93.95776496408303,4.520652702501038,0.11175057655263333,600.0437083063508,7996.57897785509
0.08,10,500.0,400.0,0.003,60,0.08,0.1,0.006,40.0,5.0,3340.061508448352,104.70420759702274,101.14071156640766,89.84796360697368,4.520652702500971,57.87150419852813,323.937987169669,7996.601799498678
0.079,11,500.0,400.0,0.003,60,0.07,0.1,0.008,40.0,5.0,4001.7245898772653,104.53741458678209,98.77390936079922,89.087954886966,4.463655896520469,71.8846935448663,169.43666114771125,7996.805614356777
0.08,11,525.0,375.0,0.0035,60,0.07,0.1,0.004,40.0,6.0,2625.5860249802986,105.18495291074412,103.22999316104467,92.74587723445482,4.561549761561268,5.4929385557673065,545.1523931794806,7996.837072828745
0.078,11,550.0,375.0,0.0035,60,0.07,0.08,0.004,40.0,3.0,2365.0748027545837,104.94941815991191,104.33655839477406,94.25299328529343,4.446526425685726,0.09683500482304301,609.3562977701973,7997.775672757805
0.079,10,550.0,400.0,0.0035,62,0.08,0.1,0.004,40.0,6.0,3424.335309152115,103.35560718644336,100.65376963819274,89.79122076816488,4.463816867111081,60.13303205593361,288.9332222357046,7997.8284309596875
0.078,11,500.0,375.0,0.003,62,0.07,0.1,0.004,42.0,6.0,2489.6803449803897,104.9923587149965,103.19877170920836,93.91717558667854,4.446377438023941,0.03898708839442904,578.2233417073871,7997.867657818599
0.08,11,525.0,400.0,0.003,62,0.08,0.1,0.004,40.0,5.0,2713.2969115858746,104.79742542938898,103.04319466689098,91.83425913593051,4.5206527025009935,18.7173411219276,502.94347054894746,7997.888885719666
0.08,11,525.0,375.0,0.003,62,0.07,0.1,0.006,42.0,5.0,2898.838166907579,105.56035788117165,101.67110225058983,92.02166538129975,4.561396869632572,12.666085788901462,476.7466809338459,7997.96694994415
0.08,10,500.0,375.0,0.003,60,0.08,0.08,0.004,40.0,6.0,2527.153922045659,105.16213360373423,103.64060634929497,93.08072361251462,4.561396869267931,3.7545747974316486,568.0219626312775,7997.989813312173
0.079,11,525.0,375.0,0.003,60,0.08,0.08,0.004,40.0,5.0,2581.870037187125,104.97286905529828,103.52996116958411,92.70582479172437,4.503880859858778,6.921987346968021,550.4814448715204,7998.067045845733
0.078,10,550.0,400.0,0.0035,62,0.08,0.1,0.004,40.0,6.0,3561.4328533491657,102.94144420424492,100.26097842109253,89.59432606177914,4.4068303178710355,64.69122781974959,252.32373065103383,7998.126631328358
0.079,10,525.0,400.0,0.003,60,0.07,0.08,0.01,42.0,3.0,3560.0292571240534,104.6033787838,99.79802122059866,90.27655050495662,4.463655896520535,41.42677069021585,298.2716781920557,7998.3206047194735
0.079,11,550.0,400.0,0.0035,62,0.08,0.08,0.004,42.0,5.0,2906.108358838147,104.24711494980846,101.9207189114896,91.64610282979669,4.463816867475545,19.908090787410618,454.63059554173043,7998.46153192376
0.079,10,550.0,375.0,0.0035,62,0.08,0.08,0.004,40.0,3.0,2327.338417893461,105.01425058219864,104.51315870511284,94.10025744901914,4.504031799288888,0.08502484052495982,615.3558634255381,7998.688902359669
0.08,10,550.0,400.0,0.0035,62,0.07,0.1,0.004,42.0,5.0,2912.3037419980055,104.26039936932271,101.95570099306646,91.71515011395499,4.520815755717722,17.675248406961174,457.8820706388161,7999.0241427851115
0.078,10,525.0,400.0,0.003,60,0.07,0.08,0.01,42.0,3.0,3705.857053278608,104.17970572525864,99.40105293791753,90.0569950046794,4.406671428425701,45.83672666952721,260.4441667555461,7999.208746861219
0.08,10,500.0,400.0,0.0035,62,0.07,0.1,0.008,42.0,5.0,3661.459766568314,104.98921451677698,99.19530554046185,90.22916312726116,4.520815755717722,42.16662097708459,276.9824879433267,7999.286455594134
0.079,11,525.0,400.0,0.003,60,0.07,0.08,0.01,42.0,3.0,3431.1173102145253,104.98927181233199,100.12962392462762,90.55177311187808,4.463655896520535,35.6868135825824,334.50647355066695,7999.331064773169
0.078,10,550.0,400.0,0.003,60,0.08,0.08,0.004,40.0,5.0,3434.0951565508,103.11882604652851,100.81719798955538,89.89211262007726,4.406671428425679,56.05984827655554,294.00286689791676,7999.86526767551
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.006,42.0,4.0,3407.7124887264695,103.91445200318738,100.36955780257348,90.3376325470924,4.463655896520535,42.65085160280474,320.3883833335919,8000.2391118115265
0.078,10,525.0,375.0,0.003,60,0.07,0.1,0.01,42.0,3.0,3437.7125040485075,104.8242476244343,100.34338600546376,90.42476061235968,4.446377438062865,38.67533797782102,330.5941969629935,8000.445161212347
0.079,10,550.0,400.0,0.003,60,0.07,0.08,0.004,42.0,4.0,2916.986855848462,103.99647451779236,102.14329551154438,91.82003913814273,4.463655896520535,15.566239944920305,461.08831370725545,8000.5295425863105
0.08,10,500.0,375.0,0.0035,60,0.08,0.08,0.004,40.0,6.0,2460.490855928234,105.23617867422108,103.88401242128188,93.46088347216086,4.561549761561268,1.5605514747557874,586.4992354959735,8000.556678478895
0.08,11,525.0,400.0,0.003,62,0.08,0.08,0.008,42.0,3.0,2837.4043922797537,105.45486883480339,102.06588928209133,91.86376416877775,4.520652702501038,16.70621380275578,483.15280110485156,8000.70202350756
0.078,10,500.0,400.0,0.003,62,0.08,0.1,0.004,40.0,3.0,2359.6507385493233,105.22692221747813,104.75458745274975,93.89961524110029,4.406671428425701,0.47047598936033136,613.5823039178366,8000.7492968554925
0.079,10,525.0,375.0,0.0035,60,0.08,0.1,0.006,40.0,3.0,2613.6494327314495,105.1548657300656,103.85174650810363,92.2850962423293,4.504031799288888,11.94967937684208,541.7265488097917,8000.848565538065
0.079,10,550.0,400.0,0.0035,60,0.07,0.1,0.004,40.0,6.0,3493.312541968189,103.35560718644336,100.51378794444395,89.92193501695283,4.463816867111081,52.21493133016742,288.9332222357046,8001.150202186964
0.08,10,500.0,375.0,0.0035,62,0.08,0.1,0.01,42.0,3.0,2726.609131959413,106.32685954893518,102.51863521959497,92.31294066133333,4.561549761925887,10.810248827667381,522.5951130227851,8001.319198076482
0.08,11,500.0,375.0,0.003,62,0.07,0.1,0.004,40.0,6.0,2322.920487799131,105.54007286360499,104.11701546720289,94.4647152222723,4.561396869267931,0.4241406015681369,619.4744568869497,8001.342030513722
0.079,11,500.0,400.0,0.0035,62,0.08,0.1,0.008,42.0,3.0,2681.188968579119,105.63474403284398,102.83967415647842,92.38413118227135,4.463816867475545,10.276664039963078,528.2670195492075,8001.445025860976
0.079,10,525.0,400.0,0.003,62,0.08,0.08,0.004,42.0,4.0,2584.075260119949,104.50368103783084,103.2291478308402,92.94255397467838,4.463655896520535,5.014945073174434,547.3851574236588,8001.485587668429
0.078,10,550.0,400.0,0.0035,60,0.07,0.1,0.004,40.0,6.0,3631.7819833327385,102.94144420424492,100.12325975740637,89.72288142996028,4.4068303178710355,56.59192004673777,252.32373065103383,8001.553398750264
0.08,11,525.0,400.0,0.003,62,0.08,0.08,0.004,40.0,4.0,2414.5357376510256,105.06124341292202,104.01568140879809,93.47148129438942,4.520652702501038,1.9492804594194166,591.9679401056187,8001.636258683533
0.079,11,525.0,400.0,0.0035,62,0.08,0.08,0.004,42.0,5.0,2624.823915189227,104.71820205143062,102.86907865323296,92.8325995331581,4.463816867475545,5.614125422653296,537.9206248417729,8001.64644511395
0.079,10,500.0,375.0,0.0035,60,0.08,0.08,0.004,40.0,5.0,2364.2419761953147,105.12692468020586,104.4052889373171,94.0125401301264,4.504031799288866,0.08536010479786749,610.2545719626238,8002.002559269857
0.08,11,500.0,375.0,0.0035,62,0.07,0.08,0.004,40.0,6.0,2196.7374243126646,105.61438026212953,104.3785937437348,95.61799809805927,4.561549761561268,7.903671718575868,638.9135727251428,8002.202081004565
0.078,11,550.0,375.0,0.0035,62,0.08,0.1,0.008,42.0,3.0,3068.5832521866364,104.84140870773601,101.53481408222791,90.94339089893259,4.446526425685726,32.58192112736371,410.95934087927094,8002.323503800249
0.08,10,550.0,375.0,0.0035,60,0.07,0.08,0.01,40.0,4.0,4130.892708232513,104.66238161612299,98.24766159095584,88.97417432123628,4.561549761925887,74.53864567591597,140.0234138628343,8002.584348754542
0.079,11,500.0,400.0,0.003,62,0.08,0.08,0.004,42.0,6.0,2658.284815343423,104.81444712928521,102.61594926845801,92.83620771313237,4.463655896481589,5.349990368355957,531.7986613422618,8002.7634868514815
0.079,10,525.0,375.0,0.0035,62,0.08,0.1,0.008,42.0,4.0,3288.4095608936314,105.05745608107236,100.6651372831712,90.49876454205543,4.504031799288888,40.869923217869015,356.1300097612785,8002.782467762332
0.078,11,525.0,375.0,0.0035,60,0.08,0.08,0.006,42.0,4.0,2826.74214863528,105.08209552777387,102.34577448438415,92.0274017444651,4.446526425685726,13.532416289104148,490.77856588574633,8002.919526737725
0.078,11,500.0,375.0,0.0035,60,0.07,0.1,0.008,42.0,3.0,2560.881892722875,105.85463504488604,103.26926866552276,93.42159953659122,4.446526425685726,1.0625699387152416,572.3478916458497,8003.533227080357
0.08,10,525.0,375.0,0.0035,60,0.07,0.1,0.006,40.0,3.0,2417.3280357371896,105.5898489079672,104.31139032141493,93.63770195182417,4.561549761925887,0.7179350928118411,602.6752156405078,8003.619571572059
0.08,11,550.0,400.0,0.0035,60,0.07,0.1,0.004,40.0,5.0,2972.6536577256643,104.43673438689372,102.19422115191108,91.1765371118722,4.520815755717722,26.613251268146335,438.62478160281637,8003.631275690623
0.078,11,525.0,375.0,0.0035,62,0.07,0.1,0.004,42.0,5.0,2463.116050720746,104.91116559039217,103.44639581863308,93.89890127665439,4.446526425685726,0.07950194789720791,584.3254594839717,8003.783515433006
0.078,10,525.0,400.0,0.003,62,0.08,0.1,0.008,42.0,3.0,3302.608503804164,104.2163790128697,100.9003589584707,90.32870958922828,4.406671428425701,45.75622990888924,342.2647567687444,8004.194490756409
0.079,11,500.0,375.0,0.003,60,0.07,0.1,0.008,42.0,4.0,3004.09155265535,105.84050575911597,101.56189275091772,91.71392474784098,4.5038808598588,15.898865427841494,457.3551815295964,8004.2735645994035
0.079,11,550.0,400.0,0.003,62,0.08,0.08,0.008,40.0,4.0,3906.3236726171317,104.03210441905242,98.92206543417151,88.98825686564953,4.463655896520535,80.46229482946768,169.45202989562364,8004.608842734146
0.078,10,525.0,375.0,0.0035,62,0.08,0.1,0.006,42.0,3.0,2541.7127547921764,105.01701682878686,103.57159756775002,93.01918313377992,4.446526425685726,4.5254998627182745,563.3236693197056,8004.664868618342
0.079,11,525.0,400.0,0.0035,62,0.08,0.08,0.006,42.0,3.0,2521.8093797147762,105.17339444056162,103.34483653544305,93.2269359400191,4.463816867475545,2.9200223863560795,568.514716044003,8004.712557168521
0.078,10,525.0,375.0,0.003,60,0.08,0.1,0.006,40.0,5.0,3586.9855954036993,103.9989591394001,100.37254351048145,89.39919875762868,4.446377438062821,68.91809604993071,254.84441515335865,8004.837553993083
0.078,11,550.0,400.0,0.0035,62,0.07,0.1,0.004,42.0,3.0,2563.7577490134786,104.2966860858525,103.41993165702429,93.16302369339449,4.406830318235411,2.881314291414406,555.2868864272172,8004.955699736263
0.078,10,525.0,400.0,0.0035,60,0.07,0.1,0.004,42.0,4.0,2757.9262741468,104.17060318823991,102.911777330705,92.41559918368306,4.406830318235411,8.410063615673693,508.86489795178204,8005.111238840437
0.078,11,550.0,400.0,0.003,62,0.08,0.08,0.006,40.0,5.0,3886.86309724683,103.40315483182164,98.99404196823605,89.16314447091035,4.406671428425657,74.60803852417092,176.3446310012264,8005.168003428419
0.078,11,500.0,400.0,0.003,62,0.08,0.1,0.006,42.0,5.0,3271.827466692612,104.52028817007923,100.7521625871021,90.59597484203103,4.406671428425701,38.641059574881986,358.7734283912255,8005.193215663559
0.079,10,550.0,375.0,0.003,60,0.07,0.08,0.004,42.0,5.0,2842.333328048196,104.39004222689758,102.21193053231153,92.1980296674604,4.5038808598588,10.43934001321807,486.38385988557394,8005.3584077236865
0.08,11,500.0,375.0,0.003,60,0.08,0.1,0.008,40.0,5.0,3606.421641596286,105.5631625079661,100.151907247236,89.35740122015636,4.56139686963255,69.73710010482192,261.7585880311667,8005.429268238185
0.078,11,500.0,400.0,0.0035,62,0.07,0.1,0.008,42.0,5.0,3838.9566849722155,104.49481651267592,98.68399884787151,90.0078316402481,4.406830318235411,46.19882442371691,233.0742675006446,8005.448303595094
0.078,11,525.0,400.0,0.0035,62,0.08,0.1,0.004,40.0,3.0,2427.386555729891,104.88103839142539,104.3802621715004,93.37531740384992,4.406830318235411,2.5881475009991064,591.3477800840288,8005.478398870078
0.078,10,525.0,375.0,0.0035,60,0.08,0.08,0.006,42.0,5.0,3341.1486024373967,104.37738981243467,100.59718572236136,90.58067915514752,4.446526425685726,37.29498708791746,347.41299154654314,8005.58258247607
0.08,11,525.0,375.0,0.003,62,0.08,0.1,0.004,40.0,6.0,2649.5556690932194,105.11520900621272,103.13318445767477,92.23259571570755,4.561396869267931,12.805886467084422,527.4661590109067,8005.60823560361
0.079,11,500.0,400.0,0.0035,62,0.07,0.08,0.004,40.0,4.0,2161.729356286184,105.26102870147193,104.83547079932967,95.78195759633326,4.463816867475545,9.258792591191725,644.6885293605154,8005.792119415055
0.08,11,550.0,375.0,0.0035,62,0.07,0.08,0.004,42.0,6.0,2651.1689927070834,105.03641175669037,102.39934937532449,93.12692015559809,4.561549761886918,2.528174756615627,538.5845580988264,8006.06038725431
0.08,11,525.0,375.0,0.003,60,0.08,0.1,0.008,40.0,3.0,2835.080641120068,105.84979033652232,102.94393683306541,91.23664648061475,4.561396869632572,28.139713237975812,478.15565030673963,8006.290945626807
0.079,10,500.0,400.0,0.003,60,0.07,0.08,0.004,42.0,5.0,2580.100702114193,104.73477129596768,103.12369032643669,93.44000698244788,4.463655896520535,1.0341143649038043,558.9372408759253,8006.35575619225
0.079,11,500.0,400.0,0.0035,60,0.08,0.08,0.01,42.0,3.0,3113.211044402147,105.58290914937278,101.2833623375617,91.12053896992754,4.463816867475545,27.175597260498424,417.0639696302197,8006.4459799172055
0.078,11,525.0,375.0,0.0035,60,0.08,0.1,0.004,40.0,5.0,2722.2500683238172,104.60810632550154,103.29329449476754,91.96134123160472,4.446526425685704,15.66235045534308,509.02417072497946,8006.50574107276
0.079,11,525.0,400.0,0.003,62,0.07,0.1,0.004,42.0,5.0,2708.0767147845554,104.63123952951302,102.60888457279714,92.5883163885362,4.463655896520535,7.026080267115065,519.48453677609,8006.5090190398605
0.08,11,500.0,375.0,0.003,62,0.08,0.08,0.004,40.0,6.0,2321.3912421612795,105.54007286360499,104.12322940292395,94.3059448928922,4.561396869267931,0.04677744805789158,619.4744568869497,8006.714149067626
0.079,10,525.0,375.0,0.0035,60,0.07,0.1,0.006,42.0,4.0,2817.049715527439,105.13474785600796,102.41588451407115,92.19434080578331,4.504031799288888,10.451965908863697,499.3532502567745,8006.743808661464
0.08,10,550.0,375.0,0.0035,62,0.08,0.08,0.006,42.0,5.0,3243.9629542447506,104.76460385504338,100.61190429891136,90.75758022407672,4.561549761925887,34.985139038002046,369.1775934605928,8006.949513285921
0.079,10,500.0,400.0,0.0035,62,0.07,0.1,0.01,42.0,4.0,3815.8696666730802,104.85417655323064,98.7790338906167,89.98526387770187,4.463816867475545,47.18598323947359,239.97894706961785,8007.05006016094
0.079,10,500.0,375.0,0.0035,62,0.07,0.08,0.004,42.0,6.0,2337.189678986835,105.14249747151487,103.5664409635961,95.03329743626071,4.504031799249963,3.4684079129046794,609.7961303545322,8007.2538311527205
0.079,10,550.0,400.0,0.003,62,0.08,0.1,0.004,40.0,3.0,2743.5493847598377,104.00530483995364,103.21909262753658,91.70525201348896,4.463655896520535,21.18790156205338,490.43860617497563,8007.392382444032
0.08,10,550.0,400.0,0.0035,60,0.07,0.08,0.006,42.0,3.0,2843.2263650679947,104.6787681167995,102.3131658705581,92.0290405553303,4.520815755717722,12.804205878604773,485.9784617147927,8007.51325339922
0.08,11,525.0,400.0,0.0035,60,0.07,0.08,0.008,42.0,4.0,3347.381697866908,105.24394152058962,100.32038636490354,90.78456445819673,4.520815755717722,30.970002311880286,360.34510716928565,8007.667598999991
0.079,11,550.0,400.0,0.003,62,0.08,0.08,0.006,42.0,3.0,2872.6633222268433,104.56592917227495,102.13918318302024,91.64075641143204,4.463655896520535,20.46724924353752,465.51642682300616,8008.0796606977965
0.078,10,525.0,400.0,0.0035,62,0.08,0.08,0.004,42.0,3.0,2418.9940882941382,104.51081660689344,104.03463371125125,93.91704157065328,4.406830318235411,0.26705650547690163,593.3201242423796,8008.09091231992
0.079,10,525.0,375.0,0.003,62,0.08,0.1,0.008,42.0,3.0,2843.283493138004,105.31004121119818,102.31706917656787,91.68706278290456,4.5038808598588,19.80871863950416,479.83154293676535,8008.187083154735
0.079,11,500.0,375.0,0.003,62,0.07,0.08,0.004,40.0,5.0,2169.431955904148,105.42137581018645,104.65412350743551,95.77023111110849,4.503880859858778,9.305270585133071,643.5696872408197,8008.280537765665
0.08,11,525.0,400.0,0.0035,60,0.07,0.08,0.006,42.0,4.0,2804.7754198443863,105.30708713469883,102.20573712914704,92.3473560695613,4.520815755717722,8.639641945973521,503.66778919221036,8008.484656029821
0.079,11,500.0,375.0,0.003,62,0.08,0.08,0.01,40.0,5.0,4248.887666126521,105.03370394543118,97.63517253738418,89.00588205918162,4.503880859858711,75.0753668616411,117.18745856043068,8008.597121416698
0.079,11,525.0,400.0,0.0035,60,0.08,0.1,0.01,40.0,3.0,3605.9977460622385,104.81459404294762,100.35560422189309,89.12626019391958,4.463816867475545,77.87878453814788,245.8577800931208,8008.689661740402
0.079,10,525.0,375.0,0.003,60,0.08,0.08,0.006,40.0,6.0,3771.722929288179,104.08894187567523,99.44916042819973,89.34360085005899,4.503880859311926,68.39060196080041,216.69276391369948,8008.8017482242885
0.079,10,525.0,400.0,0.0035,60,0.07,0.1,0.006,42.0,4.0,3140.0722785901166,104.4893255055688,101.41666061301916,91.06086057277018,4.463816867475545,27.172311931409084,405.184056063704,8009.003204019655
0.079,11,525.0,400.0,0.003,62,0.08,0.08,0.004,42.0,6.0,2945.8239773910045,104.36361497479174,101.66987715114104,91.6496609717813,4.463655896481589,19.415592854877776,449.0612682728978,8009.026328244299
0.079,10,525.0,375.0,0.0035,60,0.08,0.1,0.004,40.0,6.0,2948.2139522923812,104.3569567163761,102.4298985191078,91.12263801022603,4.504031798924357,29.207843745912086,441.3053106585975,8009.085666326008
0.079,10,525.0,375.0,0.0035,62,0.08,0.1,0.006,42.0,5.0,3145.367010413609,104.81007768426218,101.13930009502823,90.88961845075943,4.504031799288888,32.9200639263694,394.77594077257714,8009.120092403056
0.078,10,550.0,400.0,0.0035,62,0.08,0.1,0.006,42.0,3.0,3127.9724250356103,103.84402553804732,101.62177688325058,90.71253831256116,4.406830318235411,38.062161633142836,386.51536816934856,8009.292518686187
0.078,10,550.0,375.0,0.003,62,0.07,0.1,0.006,42.0,5.0,3620.9474496263615,103.83817621084538,99.57192462876854,90.10360212302531,4.446377438062865,46.362284369557614,272.34492965509446,8009.340643374351
0.078,10,550.0,375.0,0.0035,60,0.07,0.08,0.006,40.0,6.0,4089.3799526694092,103.32472407171788,98.37521947796358,89.29226319055776,4.446526425139008,64.49027317846773,151.85625097072216,8009.670907403379
0.078,11,525.0,375.0,0.003,60,0.08,0.08,0.004,40.0,4.0,2477.0153136751996,104.82619268257099,104.06121816471504,93.26906876139766,4.446377438062865,2.7110845911306747,580.5057080844683,8009.72835202995
0.08,10,550.0,400.0,0.003,62,0.07,0.1,0.006,42.0,3.0,2880.294163163028,104.58091587307018,102.17084826490456,91.7045308765546,4.520652702501038,18.28314909905204,468.55572370478654,8009.755856886066
0.079,11,500.0,400.0,0.003,60,0.08,0.08,0.01,40.0,4.0,4004.839101899323,104.83584661751854,98.78134976976362,88.8713616944095,4.463655896520535,81.71775516418232,159.0932794162588,8010.022193291754
0.08,11,550.0,375.0,0.003,60,0.08,0.08,0.006,40.0,5.0,3412.726658652818,104.83465331550681,100.63684895596263,89.80736272572345,4.56139686963255,58.246332279084875,308.7060106860215,8010.206380020581
0.078,11,500.0,375.0,0.003,62,0.08,0.08,0.008,40.0,6.0,4228.351411427775,104.28547313295743,97.67528686044207,89.13853522855553,4.446377437333937,70.66244532626226,120.9761434599038,8010.388683584528
0.08,10,525.0,400.0,0.003,62,0.07,0.1,0.006,42.0,5.0,3362.5488314940453,104.53708411831435,100.31578148533184,90.57562134024417,4.520652702501038,36.8059904026344,342.7513829062991,8010.489519401588
0.08,11,550.0,375.0,0.0035,62,0.08,0.1,0.006,40.0,3.0,2525.5549943727874,105.50268991078916,103.83173083683906,92.57547547555161,4.561549761925887,9.357767077466143,563.2402665184547,8010.6717210600345
0.079,10,500.0,400.0,0.0035,62,0.07,0.1,0.006,42.0,3.0,2374.0825501996574,105.31806503245726,103.97108102427228,94.31683210044906,4.463816867475545,0.17048106171630942,609.6642957148703,8010.735208021828
0.078,10,500.0,400.0,0.0035,60,0.07,0.08,0.004,42.0,4.0,2411.299167731881,104.68737061118811,103.91736768976216,94.40326716178839,4.406830318235411,0.48017795666478913,599.0659475107059,8010.900361033902
0.078,11,525.0,375.0,0.003,62,0.08,0.08,0.004,42.0,5.0,2528.2077523200446,104.83048353725607,103.21559968928102,93.37235945145204,4.446377438062865,1.9546066174890557,566.3648175775173,8011.01725508469
0.079,10,550.0,375.0,0.0035,60,0.08,0.1,0.006,40.0,3.0,2886.9567447141926,104.6633370519023,102.87818984794288,91.09135792974762,4.504031799288888,30.902743544507633,455.7941521978332,8011.040610558451
0.078,11,525.0,400.0,0.003,62,0.07,0.1,0.008,42.0,4.0,3669.539158931713,104.29784728524841,99.37742662196545,90.01950389577385,4.406671428425701,47.994851375768036,264.32714474685963,8011.06797475589
0.078,11,500.0,375.0,0.003,62,0.08,0.08,0.004,42.0,6.0,2488.743157870265,104.9923587149965,103.20478049332742,93.76321418776294,4.446377438023941,0.408784672966576,578.2233417073871,8011.122504115331
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.004,42.0,5.0,3119.608102709164,103.76100879690098,101.31613540924192,90.96246323519219,4.463655896520535,32.04321190416934,392.7835042611833,8011.396044924017
0.078,11,525.0,375.0,0.003,60,0.07,0.1,0.006,42.0,4.0,2907.078629665054,104.99680166752904,102.09762052791154,91.87660217887355,4.446377438062865,14.283779313603507,474.71295636412947,8011.458055930522
0.079,10,500.0,400.0,0.0035,60,0.08,0.08,0.006,42.0,5.0,3221.163529265993,104.66717496992318,100.97373327076544,90.864248865218,4.463816867475545,31.84497922582741,382.3563316623995,8011.932766162597
0.08,11,550.0,400.0,0.003,62,0.07,0.08,0.01,42.0,3.0,3493.7071385033146,104.92025905922014,99.72016620148565,90.40045335840668,4.520652702501038,39.6964184359152,313.94684342617956,8012.164063540697
0.078,11,500.0,375.0,0.003,60,0.07,0.1,0.008,42.0,3.0,2632.437778768294,105.76411445261583,103.03285466019456,93.05012931064523,4.446377438062865,2.907790495799612,554.8640155811086,8012.329852254018
0.08,10,525.0,375.0,0.0035,60,0.07,0.1,0.004,40.0,5.0,2508.7958620670406,105.08779286421309,103.83513136620029,93.24545172256616,4.561549761925865,2.2655168744273007,577.043492089201,8012.474538261336
0.078,10,550.0,400.0,0.003,62,0.08,0.08,0.01,40.0,3.0,4036.784869715538,103.46009820222906,98.6448608429038,88.87426441035923,4.406671428425701,83.21380525806305,137.68294593222492,8012.489856274445
0.08,10,525.0,400.0,0.0035,60,0.07,0.1,0.004,40.0,4.0,2567.5669810993354,104.75174305848033,103.76194531594248,92.8679497592153,4.520815755717722,4.915064418975768,558.756534179743,8012.628823607851
0.078,11,525.0,400.0,0.003,60,0.07,0.08,0.006,42.0,5.0,3570.6683807038285,104.07424835464336,99.73781362688763,90.3367485497593,4.406671428425701,39.68934458791953,295.3531724774104,8012.88033477289
0.08,11,500.0,375.0,0.003,60,0.08,0.1,0.006,40.0,6.0,3299.2141820033476,105.3177395953847,101.0862509618768,90.12053051500499,4.5613968690855655,50.00767251775072,348.9487983034948,8012.933198912138
0.08,10,500.0,400.0,0.0035,62,0.08,0.1,0.008,42.0,4.0,3172.7145917176763,105.34961345774911,101.04178699179555,90.7823582517898,4.520815755717722,35.173276096587166,391.1270652631253,8013.12537748847
0.08,11,525.0,375.0,0.0035,60,0.07,0.08,0.006,42.0,5.0,2869.013445776935,105.63907857639049,101.79678021594437,92.32224618613087,4.561549761925887,8.433672900439479,493.2279182422021,8013.137714619811
0.079,10,525.0,375.0,0.003,62,0.08,0.1,0.004,40.0,4.0,2428.0651664633383,104.87603587691504,104.2729383914851,93.2952410073693,4.5038808598588,3.0928165904701874,589.7704954918635,8013.142758575335
0.08,11,525.0,400.0,0.0035,62,0.07,0.1,0.004,40.0,4.0,2352.185663486808,105.14482450007391,104.27002587096437,94.0366200247298,4.520815755717722,0.04506521322961448,612.1792806535606,8013.277674815016
0.078,10,500.0,400.0,0.0035,62,0.07,0.08,0.006,44.0,4.0,2698.5156092541342,104.86313481361628,102.08259693493672,93.5727152924799,4.406830318235411,0.4084388402198284,534.4302822242715,8013.323259010134
0.08,10,525.0,400.0,0.0035,60,0.07,0.08,0.004,42.0,6.0,2906.180340696068,104.479928424226,101.87143751683035,92.06685888570567,4.520815755678753,11.631864449771538,472.50782890083127,8013.397458478516
0.08,10,550.0,400.0,0.0035,60,0.07,0.08,0.006,42.0,4.0,3237.7331911391734,104.41781067268266,100.89785479575949,90.8613748355726,4.520815755717722,30.677798587307556,378.09961932339763,8013.513617038696
0.08,11,550.0,400.0,0.0035,62,0.07,0.1,0.006,42.0,4.0,3058.797538636767,104.82755124782403,101.365189674547,91.22839506200343,4.520815755717722,25.209125215790486,423.09935291031144,8013.691111998474
0.078,10,525.0,375.0,0.0035,62,0.08,0.1,0.004,42.0,5.0,2644.84480270289,104.52846960320349,103.09440960726583,92.62480255564444,4.446526425685726,7.7731427006049385,533.2699011902221,8014.0661585822145
0.079,10,550.0,400.0,0.0035,62,0.07,0.08,0.008,42.0,4.0,3829.409746989021,103.93845385845742,98.77626323637783,89.90349370621244,4.463816867475545,49.67044609747715,226.20010178950346,8014.099120496851
0.08,10,525.0,400.0,0.003,62,0.08,0.08,0.01,42.0,3.0,3360.227016558435,105.02759274750754,100.31202115999756,90.4155170122415,4.520652702501038,42.44547396772355,339.49025732626455,8014.293079339785
0.078,10,525.0,400.0,0.0035,62,0.07,0.08,0.006,44.0,3.0,2636.8677174137606,104.6212003190434,102.56841948776214,93.57780972493141,4.406830318235411,0.5376983124401462,546.5531827236003,8014.499026161257
0.078,11,525.0,400.0,0.003,62,0.08,0.1,0.004,40.0,3.0,2493.8485106522244,104.64546101863021,104.12548163710946,92.97932903288996,4.406671428425701,5.403690446832381,572.0107320748971,8014.753189127034
0.08,11,525.0,400.0,0.0035,60,0.07,0.08,0.006,42.0,5.0,3200.2878849897547,105.01361690562712,100.7925483324041,91.17568360877603,4.520815755717722,24.087106927214876,398.6725307465468,8014.829466196468
