beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,m_amp,m_mu,m_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.08,10,500.0,400.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2753.5687171571976,105.03547381687251,101.13020768480568,92.5725108721465,4.520815755717722,5.711261373296288,286.05923828934846,6314.188882470845
0.079,10,500.0,375.0,0.0035,62,0.07,0.1,0.01,40.0,3.0,2527.2084935227485,105.5449924341943,102.15479274184722,93.11652969886127,4.504031799288888,2.3365917178571487,344.26198997098237,6318.465494302669
0.079,10,525.0,375.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2818.7495101269496,104.96992879235053,100.97877500802014,92.27686340952887,4.5038808598588,8.584284675516972,268.8468134468218,6319.392976263181
0.08,10,525.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2617.7621969073684,105.48626646906871,101.63159119094091,92.89950361161976,4.561549761925887,3.4856700357786483,321.6094527426783,6320.387039224233
0.079,10,525.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2867.3911398167675,104.75044392027242,100.7522092853664,92.26195712207499,4.504031799288888,8.439320075751484,257.26945491675684,6320.619126741058
0.08,10,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,4.0,2451.4258070355586,105.64464263281812,102.13773944589693,93.73609994895419,4.561549761925887,0.1261762988909624,363.83191985028276,6323.506927015345
0.079,11,500.0,375.0,0.003,62,0.07,0.08,0.008,40.0,4.0,2546.2206807275284,105.50489740233593,101.79130360569098,93.36395534766739,4.5038808598588,0.9959191986700544,341.20549904751425,6324.118517574618
0.079,11,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,5.0,2992.550868723075,105.1892671937559,100.16274873489591,92.1674161954752,4.5040317992888435,8.770743081684227,234.9086905860665,6325.2553421997745
0.079,11,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,4.0,3088.654772372945,105.44164292154626,99.92441573567295,91.79188108188742,4.5038808598588,13.273380767741042,211.34194993398353,6326.439615881057
0.078,10,500.0,375.0,0.003,62,0.07,0.08,0.006,40.0,5.0,2633.6146380842783,104.42556332792374,101.5142039062877,93.2290446426396,4.446377438062821,1.41883317352797,314.7590151716018,6326.5381502076925
0.078,11,500.0,375.0,0.0035,62,0.07,0.1,0.008,40.0,4.0,2669.8479696723493,105.13301095480301,101.57482017513608,92.73586976929388,4.446526425685726,4.552228717838227,309.11848478490685,6329.365154389934
0.08,10,500.0,400.0,0.003,62,0.07,0.08,0.01,40.0,3.0,2716.628389455958,105.25532057238537,101.33854128809125,92.55728668401143,4.520652702501038,6.098598701666679,297.4290856583524,6331.812011137231
0.078,11,500.0,375.0,0.0035,62,0.07,0.08,0.008,40.0,5.0,3132.621128019334,104.7461474292565,99.73214285941715,91.89707516279492,4.44652642568566,11.453129411853082,200.44678324997014,6333.451326469475
0.08,10,500.0,375.0,0.003,62,0.07,0.08,0.01,40.0,4.0,3066.405629980411,105.50703591082207,100.03151245965248,91.78660521651794,4.561396869632572,13.580235525557114,217.80385551462047,6339.327179954258
0.08,10,500.0,375.0,0.0035,62,0.07,0.08,0.01,40.0,3.0,2343.7512921742564,105.98755927472475,102.60459411112706,94.12868054803982,4.561549761925887,0.09407155313951612,392.1207397532347,6339.35339553005
