beta,tau_r,r_max,c_max,k_c,tau_q,q_max,k_q,cool_amp,cool_mu,cool_sigma,sse,peak,mid_mean,late_mean,jump_pct,tail_err,dip_err,loss
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.12,41.0,5.0,2395.2853395690395,106.72046140018104,106.11624457714117,95.07360639553679,4.463655896520535,2.016007677565746,856.0792473738101,8007.265499363075
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,39.0,4.0,2393.797064667738,106.72397345650462,106.12594105435066,94.9187735439651,4.463655896520535,0.9676475139692496,856.5960506778724,8007.983456618311
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,39.0,3.0,2393.7867717668437,106.72391046648347,106.12587908845171,94.91872266978135,4.463655896520535,0.9674817503503826,856.5981685940853,8007.994961289305
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,41.0,4.0,2393.8467425451836,106.72360153077847,106.12557517526716,94.91847315604937,4.463655896520535,0.9666689688841449,856.6207586810926,8008.235058615897
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.08,41.0,5.0,2393.8427708385025,106.72390198087679,106.12587073031682,94.91871580389862,4.463655896520535,0.9674593803218576,856.6332269963282,8008.262536373868
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.1,39.0,4.0,2395.285020318566,106.72227102036827,106.1180246934155,95.07507026383145,4.463655896520535,2.022971342761962,856.3097500331667,8008.408869768368
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.05,39.0,5.0,2393.830042392815,106.72466642036332,106.12662275051086,94.91933321794292,4.463655896520491,0.9694720619897403,856.7003423136255,8008.542199058377
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.12,43.0,5.0,2393.906989902321,106.72352616874714,106.12550097009402,94.91841220703458,4.463655896520535,0.9664704829190488,856.6682386379241,8008.591069681039
0.079,10,550.0,400.0,0.003,62,0.07,0.1,0.1,41.0,5.0,2395.342046394235,106.72218167811988,106.11793679548494,95.07499797701786,4.463655896520535,2.0226271892038192,856.3562112431548,8008.756475021068
0.079,10,550.0,400.0,0.003,62,0.08,0.08,0.1,39.0,3.0,2393.8328056589503,106.72505593576922,106.1270059343173,94.91964781322542,4.463655896520535,0.9704984209112264,856.7887145152761,8009.019006723025
